Reading,Word,Category
あいぼう,Ai－ボウ
あこーどとーかー,アコード・トーカー
あこーどとーかー,アコード・トーカー＠イグニスター,短縮よみ
あこーどとーかーあっといぐにすたー,アコード・トーカー＠イグニスター
あっといぐにすたー,＠イグニスター
うぃざーど,ウィザード
うぃざーど,ウィザード＠イグニスター,短縮よみ
うぃざーどあっといぐにすたー,ウィザード＠イグニスター
くりくりんく,クリクリンク
くりくりんく,クリクリンク＠イグニスター,短縮よみ
くりくりんくあっといぐにすたー,クリクリンク＠イグニスター
こーどいぐないたー,コード・イグナイター
せいばー,ファイアウォール・S・ドラゴン,短縮よみ
つながりあい,繋がり－Ai－
ばっくあっぷ,バックアップ
ばっくあっぷ,バックアップ＠イグニスター,短縮よみ
ばっくあっぷあっといぐにすたー,バックアップ＠イグニスター
ふぁいあうぉーるせいばーどらごん,ファイアウォール・S・ドラゴン
