Reading,Word,Category
あめのはばきり,天羽々斬
あめのはばきりのみつるぎ,天羽々斬之巳剣
あめのむらくも,天叢雲
あめのむらくものみつるぎ,天叢雲之巳剣
あらまさ,麁正
くさなぎ,草那藝
さじ,佐士
ふつのみたま,布都御魂
ふつのみたまのみつるぎ,布都御魂之巳剣
みつるぎ,巳剣
みつるぎおおはらえ,巳剣大祓
みつるぎかんじょう,巳剣勧請
みつるぎこうりん,巳剣降臨
みつるぎのいわさか,巳剣之磐境
みつるぎのしんきょう,巳剣之神鏡
みつるぎのまがたま,巳剣之勾玉
みつるぎのみこ,巳剣之皇子
みつるぎのみこと,巳剣之尊
みつるぎのみことあらまさ,巳剣之尊 麁正
みつるぎのみことくさなぎ,巳剣之尊 草那藝
みつるぎのみことさじ,巳剣之尊 佐士
みつるぎのみこをうす,巳剣之皇子 小碓
やくもたつみつるぎ,八雲断巳剣
をうす,小碓
