Reading,Word,Category
うんぷ,運否
えび,EBI
えびてん,運否の天賦羅－EBI,短縮よみ
うんぷのてんぷらえび,運否の天賦羅－EBI
ぐんかん,軍貫
てんぷら,天賦羅
