Reading,Word,Category
がったいまりゅうてぃまいおす,合体魔竜ティマイオス
くろまじゅつのひぎ,黒魔術の秘儀
てぃまいおすのがんこう,ティマイオスの眼光
ぶらっくばーにんぐ,黒・魔・導・爆・裂・破
ぶらっくばーにんぐまじっく,黒・爆・裂・破・魔・導
ぶらっくまじしゃん,ブラック・マジシャン
ぶらっくまじっく,黒・魔・導
ほろびのくろまじゅつし,滅びの黒魔術師
