Reading,Word,Category
いくさとうしょう,戦刀匠
いくさとうしょうさいば,戦刀匠サイバ
えにし,エニシ
えにし,真魔六武衆－エニシ,短縮よみ
かげろくぶしゅう,影六武衆
きざん,キザン
きざん,真魔六武衆－キザン,短縮よみ
さいば,サイバ
さいば,戦刀匠サイバ,短縮よみ
しえん,シエン
しえん,真魔六武衆－シエン,短縮よみ
しんまろくぶしゅう,真魔六武衆
しんまろくぶしゅうえにし,真魔六武衆－エニシ
しんまろくぶしゅうきざん,真魔六武衆－キザン
しんまろくぶしゅうしえん,真魔六武衆－シエン
ろくぶしき,六武式
ろくぶしきしゅうそうじん,六武式襲双陣
ろくぶしきしんでんてんまろくだんしょう,六武式真伝天魔六段衝
ろくぶしゅう,六武衆
ろくぶしゅうのしなんばん,六武衆の指南番
ろくぶしゅうのはかいそう,六武衆の破戒僧
