Reading,Word,Category
ごうき,剛鬼
ごうきざたいらんとおーが,剛鬼ザ・タイラント・オーガ
ごうきしーくおーが,剛鬼シーク・オーガ
ごうきとうこん,剛鬼闘魂
ごうきどらごんおーが,剛鬼ドラゴン・オーガ
ごうきましんすーぷれっくす,剛鬼マシン・スープレックス
ざたいらんとおーが,ザ・タイラント・オーガ
ざたいらんとおーが,剛鬼ザ・タイラント・オーガ,短縮よみ
しーくおーが,シーク・オーガ
しーくおーが,剛鬼シーク・オーガ,短縮よみ
とうこん,闘魂
とうこん,剛鬼闘魂,短縮よみ
どらごんおーが,ドラゴン・オーガ
どらごんおーが,剛鬼ドラゴン・オーガ,短縮よみ
ましんすーぷれっくす,マシン・スープレックス
ましんすーぷれっくす,剛鬼マシン・スープレックス,短縮よみ
