Reading,Word,Category
あいすどーる,アイス・ドール
あいすどーるみらー,アイス・ドール・ミラー
ごっかんのひょうちゅう,極寒の氷柱
ひょうちゅう,氷柱
ひょうちゅうとーくん,氷柱トークン
