Reading,Word,Category
しんりゅう,真竜
しんりゅうおうき,真竜凰騎
しんりゅうおうきまりあむねぱらどくす,真竜凰騎マリアムネP
しんりゅうまおう,真竜魔王
しんりゅうまおうますたーぴーす,真竜魔王マスターP
ますたーぴーす,マスターP
ますたーぴーす,真竜魔王マスターP,短縮よみ
まりあむねぱらどくす,マリアムネP
まりあむねぱらどくす,真竜凰騎マリアムネP,短縮よみ
りゅうこそうはく,竜呼双搏
