Reading,Word,Category
あくせるしんくろすたーだすとどらごん,アクセルシンクロ・スターダスト・ドラゴン
しゅーてぃんぐすたーどらごん,シューティング・スター・ドラゴン
すたーだすと,スターダスト
すたーだすと,星屑
すたーだすとうぉりあー,スターダスト・ウォリアー
すたーだすとしんくろん,スターダスト・シンクロン
すたーだすとどらごん,スターダスト・ドラゴン
でゅえりすとじぇねしす,デュエリスト・ジェネシス
