Reading,Word,Category
あぬびす,アヌビス
あぬびすのしんぱん,アヌビスの審判
あぽぴす,アポピス
あぽぴす,聖神蛇アポピス,短縮よみ
あぽぴすのけしん,アポピスの化神
あぽぴすのじゃしん,アポピスの蛇神
おうけのしんでん,王家の神殿
おうのいほうまつりしせいいき,王の遺宝祀りし聖域
かみのいかり,神の怒り
けしん,アポピスの化神,短縮よみ
こくいんをもつもの,刻印を持つ者
しゅごじゅう,守護獣
しゅごじゅうせるけと,守護獣セルケト
しんでんのしゅごしん,神殿の守護神
じゃしん,蛇神
じゃしん,アポピスの蛇神,短縮よみ
じゃっじめんとおぶあぬびす,ジャッジメント・オブ・アヌビス
せいいき,王の遺宝祀りし聖域,短縮よみ
せいしんじゃ,聖神蛇
せいしんじゃあぽぴす,聖神蛇アポピス
せいしんじゅう,聖神獣
せいしんじゅうせるけと,聖神獣セルケト
せいじゅう,聖獣
せいじゅうせるけと,聖獣セルケト
せるけと,セルケト
せるけと,聖獣セルケト,短縮よみ
せるけと,守護獣セルケト,短縮よみ
せるけと,聖神獣セルケト,短縮よみ
でんしん,澱神
でんしんあぽぴす,澱神アポピス
