Reading,Word,Category
かもく,寡黙
かもくなるさいこみにすたー,寡黙なるサイコミニスター
さいこがーる,サイコガール
さいこがーる,静寂のサイコガール,短縮よみ
さいこまじしゃん,サイコマジシャン
さいこまじしゃん,沈黙のサイコマジシャン,短縮よみ
さいこみにすたー,サイコミニスター
さいこみにすたー,寡黙なるサイコミニスター,短縮よみ
せいじゃく,静寂
せいじゃくのさいこがーる,静寂のサイコガール
ちんもく,沈黙
ちんもくのさいこまじしゃん,沈黙のサイコマジシャン
