Reading,Word,Category
いかずち,雷霆
えくれしあ,エクレシア
えくれしあ,教導の聖女エクレシア,短縮よみ
くあどらぐまびーすと,凶導の聖獣
ちゃぷれーんどらぐま,教導の死徒
てんていのしと,天底の使徒
どらぐま,ドラグマ
どらぐま,教導
どらぐま,凶導
どらぐまのいかずち,教導の雷霆
どらぐまのいかずちふるるどりす,教導の雷霆フルルドリス
どらぐまのせいじょ,教導の聖女
どらぐまのせいじょえくれしあ,教導の聖女エクレシア
ふるるどりす,フルルドリス
ふるるどりす,教導の雷霆フルルドリス,短縮よみ
