Reading,Word,Category
こくえんのけんし,黒炎の剣士
こくえんのけんしぶらっくふれあそーどまん,黒炎の剣士－ブラック・フレア・ソードマン－
ぶらっくふれあそーどまん,ブラック・フレア・ソードマン
ぶらっくふれあそーどまん,黒炎の剣士－ブラック・フレア・ソードマン－,短縮よみ
ほのおのけんし,炎の剣士
