Reading,Word,Category
じゃいあんとみみぐる,ジャイアント・ミミグル
みみぐる,ミミグル
みみぐるあーまー,ミミグル・アーマー
みみぐるけるべろす,ミミグル・ケルベロス
みみぐるすらいむ,ミミグル・スライム
みみぐるすろーん,ミミグル・スローン
みみぐるだんじょん,ミミグル・ダンジョン
みみぐるちゃーむ,ミミグル・チャーム
みみぐるでーもん,ミミグル・デーモン
みみぐるどらごん,ミミグル・ドラゴン
みみぐるふぇありー,ミミグル・フェアリー
みみぐるふぉーく,ミミグル・フォーク
みみぐるますたー,ミミグル・マスター
みみぐるめーかー,ミミグル・メーカー
みみぐるるーむ,ミミグル・ルーム
