Reading,Word,Category
うぇいかっぷ,WAKE CUP！
うぇいかっぷまき,WAKE CUP！ マキ
うぇいかっぷもか,WAKE CUP！ モカ
まき,WAKE CUP！ マキ,短縮よみ
もか,WAKE CUP！ モカ,短縮よみ
