ぶりずど,氷結界の番人 ブリズド,短縮よみ
ぶりゅーなく,ブリューナク
ぶりゅーなく,氷結界の龍 ブリューナク,短縮よみ
ぶりゅーなく,氷魔龍 ブリューナク,短縮よみ
まいひめ,舞姫
まいひめ,氷結界の舞姫,短縮よみ
ますいちゅう,魔酔虫
ますいちゅう,氷結界に住む魔酔虫,短縮よみ
みずかげ,水影
みずかげ,氷結界の水影,短縮よみ
もののふ,武士
もののふ,氷結界の武士,短縮よみ
もんしょう,紋章
もんしょう,氷結界の紋章,短縮よみ
ゆそうぶたい,輸送部隊
ゆそうぶたい,氷結界の輸送部隊,短縮よみ
よりまし,依巫
よりまし,氷結界の依巫,短縮よみ
らいほう,ライホウ
らいほう,氷結界の虎将 ライホウ,短縮よみ
らんせあ,ランセア
らんせあ,氷霊山の龍祖 ランセア,短縮よみ
りゅう,龍
りゅうそ,龍祖
ろいやるないと,ロイヤル・ナイト
ろいやるないと,氷結界のロイヤル・ナイト,短縮よみ
