Reading,Word,Category
ぎんゆうしじん,吟幽獅神
ぎんゆうしじんぺさんた,吟幽獅神ペサンタ
ぺさんた,ペサンタ
ぺさんた,吟幽獅神ペサンタ,短縮よみ
