Reading,Word,Category
しちせいてんりゅうばっとうじゅつ,七星天流抜刀術
しちせいてんりゅうばっとうじゅつはぐん,七星天流抜刀術－「破軍」
しちせいのほうとう,七星の宝刀
はぐん,破軍
はぐん,七星天流抜刀術－「破軍」,短縮よみ
