Reading,Word,Category
おぶしでぃむ,灰滅の都 オブシディム,短縮よみ
おわりなきかいめつ,終わりなき灰滅
かいめつ,灰滅
かいめつせし,灰滅せし
かいめつせしなれのはて,灰滅せし成れの果て
かいめつせしみやこのえいゆう,灰滅せし都の英雄
かいめつせしみやこのおう,灰滅せし都の王
かいめつせしみやこのさきがけ,灰滅せし都の先懸
かいめつせしみやこのじゅじゅつし,灰滅せし都の呪術師
かいめつせしみやこのみこ,灰滅せし都の巫女
かいめつのふくねん,灰滅の復燃
かいめつのふんど,灰滅の憤怒
かいめつのみやこ,灰滅の都
かいめつのみやこおぶしでぃむ,灰滅の都 オブシディム
ふくねん,復燃
はてなき,滅亡き
はてなきかいめつ,果てなき灰滅
はてなきやみ,滅亡き闇
はてなきやみゔぇいどす,滅亡き闇 ヴェイドス
めつぼうりゅう,滅亡龍
めつぼうりゅうゔぇいどす,滅亡龍 ヴェイドス
ゔぇいどす,ヴェイドス
ゔぇいどす,滅亡き闇 ヴェイドス,短縮よみ
ゔぇいどす,滅亡龍 ヴェイドス,短縮よみ
ゔぇいどすのめざめ,ヴェイドスの目覚め
