Reading,Word,Category
かいきげっしょくのしょ,皆既月蝕の書
かいきにっしょくのしょ,皆既日蝕の書
たいようのしょ,太陽の書
つきのしょ,月の書
てんりんのすふぃんくす,転輪のスフィンクス
