Reading,Word,Category
あいす,アイス
あいすらいぜおる,アイス・ライゼオル
えくす,エクス
えくすらいぜおる,エクス・ライゼオル
えくりぷす,蝕
えくりぷすのふたご,蝕の双仔
くろす,クロス
すたー,スター
すたーらいぜおる,スター・ライゼオル
そーど,ソード
そーどらいぜおる,ソード・ライゼオル
でっどねーだー,デッドネーダー
でゅおどらいぶ,デュオドライブ
のーど,ノード
のーどらいぜおる,ノード・ライゼオル
ぱるま,パルマ
ぱるまらいぜおる,パルマ・ライゼオル
ぷらぐいん,プラグイン
ほーるすらすたー,ホールスラスター
ますどらいばー,マスドライバー
らいぜおる,ライゼオル
らいぜおるくろす,ライゼオル・クロス
らいぜおるでっどねーだー,ライゼオル・デッドネーダー
らいぜおるでゅおどらいぶ,ライゼオル・デュオドライブ
らいぜおるぷらぐいん,ライゼオル・プラグイン
らいぜおるほーるすらすたー,ライゼオル・ホールスラスター
らいぜおるますどらいばー,ライゼオル・マスドライバー
