Reading,Word,Category
ゔぃんごるゔのしゅくふく,ヴィンゴルヴの祝福
えありあるいーたー,エアリアル・イーター
かむびん,カムビン
きゅーきゅーえにあごん,QQエニアゴン
ぎょうてんし,暁天使
ぎょうてんしかむびん,暁天使カムビン
くえびこ,久延毘古
こだいがめののろい,古代亀の呪い
しゃくらゔぇんでぃだーと,雷霆ノ魔軍神
そーどさみっと,魔剣達士
そーどさみっとたるわーるでーもん,魔剣達士－タルワール・デーモン
たるわーるでーもん,タルワール・デーモン
だーくびしょっぷ,大屍教
でんじえび,デンジエビ
ねくろいっぷぷりんせす,優麗なる霊鏡姫
みにまりあん,ミニマリアン
むしむしだんのじゅうきへい,無死虫団の重騎兵
むしむしだんのほきゅうへい,無死虫団の補給兵
